DATE RPTD,DATE OCC,TIME OCC,AREA,AREA NAME,DIST NO,CRIME,VICT SEX,PREMISES,WEAPON,LOCATION
1/1/2024 0:00,4/1/2020 0:00,1506,18,Southeast,1824,THEFT OF IDENTITY,F,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,9300 S  CENTRAL                      AV
1/1/2024 0:00,12/1/2022 0:00,1200,21,Topanga,2103,THEFT OF IDENTITY,M,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,8300    FAUST                        AV
1/1/2024 0:00,11/24/2023 0:00,1911,10,West Valley,1044,THEFT OF IDENTITY,F,SINGLE FAMILY DWELLING,,5900    RESEDA                       BL
1/1/2024 0:00,12/31/2023 0:00,2000,18,Southeast,1849,VEHICLE - STOLEN,,STREET,,114TH                        ST
1/1/2024 0:00,12/1/2023 0:00,626,16,Foothill,1645,THEFT OF IDENTITY,F,SINGLE FAMILY DWELLING,,12600    TERRA BELLA                  ST
1/1/2024 0:00,12/30/2023 0:00,1120,15,N Hollywood,1522,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",M,STREET,,12900    VANOWEN                      ST
1/1/2024 0:00,12/31/2023 0:00,1900,19,Mission,1984,VIOLATION OF RESTRAINING ORDER,F,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,8500    WILLIS                       AV
1/1/2024 0:00,12/7/2023 0:00,1415,15,N Hollywood,1505,"LETTERS, LEWD  -  TELEPHONE CALLS, LEWD",M,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,11400    SHERMAN                      WY
1/1/2024 0:00,12/31/2023 0:00,900,6,Hollywood,666,VIOLATION OF COURT ORDER,F,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,1200    LODI                         PL
1/1/2024 0:00,12/30/2023 0:00,1700,17,Devonshire,1743,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",X,OTHER BUSINESS,,18500    DEVONSHIRE                   ST
1/1/2024 0:00,12/30/2023 0:00,2048,16,Foothill,1634,WEAPONS POSSESSION/BOMBING,X,PARK/PLAYGROUND,EXPLOXIVE DEVICE,12200    OSBORNE                      ST
1/1/2024 0:00,12/28/2023 0:00,1630,3,Southwest,357,BURGLARY,M,SINGLE FAMILY DWELLING,,1200 W  37TH                         DR
1/1/2024 0:00,12/31/2023 0:00,1,12,77th Street,1273,VEHICLE - ATTEMPT STOLEN,F,STREET,,S  WESTERN                      AV
1/1/2024 0:00,12/31/2023 0:00,1435,16,Foothill,1699,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),F,"VEHICLE, PASSENGER/TRUCK",,7700    CLAYBECK                     AV
1/1/2024 0:00,12/31/2023 0:00,605,15,N Hollywood,1589,INTIMATE PARTNER - AGGRAVATED ASSAULT,F,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)","STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",3600    BARHAM                       BL
1/1/2024 0:00,12/31/2023 0:00,1620,16,Foothill,1645,BATTERY - SIMPLE ASSAULT,F,SINGLE FAMILY DWELLING,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",12500    GARBER                       ST
1/1/2024 0:00,12/31/2023 0:00,2030,19,Mission,1952,ROBBERY,M,STREET,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",ORION                        AV
1/1/2024 0:00,12/29/2023 0:00,1230,8,West LA,828,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",M,GARAGE/CARPORT,,10500    WILSHIRE                     BL
1/1/2024 0:00,12/31/2023 0:00,2100,16,Foothill,1651,BATTERY - SIMPLE ASSAULT,F,SINGLE FAMILY DWELLING,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",12900    CORRENTI                     ST
1/1/2024 0:00,12/30/2023 0:00,1235,15,N Hollywood,1525,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",M,CONSTRUCTION SITE,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",11700    HAMLIN                       ST
1/1/2024 0:00,12/30/2023 0:00,2025,11,Northeast,1101,BURGLARY FROM VEHICLE,M,PARKING LOT,,4700    CRYSTAL SPRINGS              DR
1/1/2024 0:00,12/31/2023 0:00,2000,5,Harbor,567,CHILD NEGLECT (SEE 300 W.I.C.),M,SINGLE FAMILY DWELLING,,1800 S  CRESCENT                     AV
1/1/2024 0:00,12/31/2023 0:00,2200,1,Central,185,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",M,SIDEWALK,OTHER KNIFE,12TH                         ST
1/1/2024 0:00,12/30/2023 0:00,2300,2,Rampart,239,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),F,PARKING UNDERGROUND/BUILDING,,100 N  BEAUDRY                      AV
1/1/2024 0:00,12/31/2023 0:00,2000,16,Foothill,1617,BURGLARY FROM VEHICLE,M,STREET,,10700    WESCOTT                      AV
1/1/2024 0:00,12/30/2023 0:00,1530,15,N Hollywood,1517,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),M,"VEHICLE, PASSENGER/TRUCK",,6700    KLUMP                        AV
1/1/2024 0:00,12/31/2023 0:00,900,15,N Hollywood,1504,BATTERY - SIMPLE ASSAULT,F,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)","STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",12000    SATICOY                      ST
1/1/2024 0:00,12/31/2023 0:00,845,19,Mission,1984,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",F,PARKING LOT,,8500    WILLIS                       AV
1/1/2024 0:00,12/29/2023 0:00,1700,21,Topanga,2128,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",M,OTHER BUSINESS,,20100    SATICOY                      ST
1/1/2024 0:00,12/31/2023 0:00,2230,10,West Valley,1003,DISCHARGE FIREARMS/SHOTS FIRED,F,DRIVEWAY,OTHER FIREARM,7700    YOLANDA                      AV
1/1/2024 0:00,12/31/2023 0:00,2320,1,Central,152,THEFT PLAIN - PETTY ($950 & UNDER),F,HOTEL,,500 S  OLIVE                        ST
1/1/2024 0:00,12/21/2023 0:00,1734,18,Southeast,1822,"LETTERS, LEWD  -  TELEPHONE CALLS, LEWD",F,SINGLE FAMILY DWELLING,,300 W  104TH                        ST
1/1/2024 0:00,12/31/2023 0:00,1700,19,Mission,1983,BURGLARY FROM VEHICLE,M,PARKING LOT,,15100    PARTHENIA                    ST
1/1/2024 0:00,12/31/2023 0:00,2245,18,Southeast,1862,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",M,"VEHICLE, PASSENGER/TRUCK",,BROADWAY
1/1/2024 0:00,12/27/2023 0:00,1800,15,N Hollywood,1563,BURGLARY,F,SINGLE FAMILY DWELLING,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",4300    IRVINE                       AV
1/1/2024 0:00,12/21/2023 0:00,1425,15,N Hollywood,1583,SHOPLIFTING - PETTY THEFT ($950 & UNDER),X,CLOTHING STORE,,12000    VENTURA                      PL
1/1/2024 0:00,12/31/2023 0:00,1840,2,Rampart,249,BURGLARY FROM VEHICLE,M,GARAGE/CARPORT,,600    SAINT PAUL                   AV
1/1/2024 0:00,12/31/2023 0:00,1200,8,West LA,852,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),F,STREET,,1500 S  WESTGATE                     AV
1/1/2024 0:00,12/31/2023 0:00,1,21,Topanga,2118,VEHICLE - STOLEN,,PARKING LOT,,ROSCOE                       BL
1/1/2024 0:00,12/31/2023 0:00,2100,3,Southwest,379,VEHICLE - STOLEN,,PARKING LOT,,1100    LEIGHTON                     AV
1/1/2024 0:00,12/27/2023 0:00,705,12,77th Street,1241,THEFT OF IDENTITY,F,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,6500    WEST                         BL
1/1/2024 0:00,11/23/2023 0:00,500,20,Olympic,2025,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),,PARKING LOT,,400 S  KENMORE                      AV
1/1/2024 0:00,12/31/2023 0:00,1420,3,Southwest,363,"LETTERS, LEWD  -  TELEPHONE CALLS, LEWD",F,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,4000    BUCKINGHAM                   RD
1/1/2024 0:00,12/27/2023 0:00,30,11,Northeast,1152,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),F,SINGLE FAMILY DWELLING,,CLAYTON                      AV
1/1/2024 0:00,12/31/2023 0:00,1145,15,N Hollywood,1504,INTIMATE PARTNER - SIMPLE ASSAULT,M,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)","STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",12000    SATICOY                      ST
1/1/2024 0:00,8/1/2023 0:00,1600,20,Olympic,2024,INTIMATE PARTNER - SIMPLE ASSAULT,M,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)","STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",600 S  NORMANDIE                    AV
1/1/2024 0:00,12/31/2023 0:00,1200,17,Devonshire,1752,"LETTERS, LEWD  -  TELEPHONE CALLS, LEWD",M,AUTO SALES LOT,,9900    LURLINE                      AV
1/1/2024 0:00,12/29/2023 0:00,1900,14,Pacific,1469,VEHICLE - STOLEN,,STREET,,7000 S  LA CIENEGA                   BL
1/1/2024 0:00,12/31/2023 0:00,2359,21,Topanga,2126,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",F,STREET,,KESWICK                      ST
1/1/2024 0:00,12/30/2023 0:00,2000,7,Wilshire,765,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),,"VEHICLE, PASSENGER/TRUCK",,1200 S  RIMPAU                       BL
